label,Deck,image,item-count,item-key
mist,ball-deck-2,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/ball-deck-2/mist.png,3,mist
lightning,ball-deck-2,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/ball-deck-2/lightning.png,3,lightning
cuddle-fish,ball-deck-2,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/ball-deck-2/cuddle-fish.png,3,cuddle-fish
oblin,ball-deck-2,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/ball-deck-2/oblin.png,3,oblin
pkm-trainer,ball-deck-2,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/ball-deck-2/pkm-trainer.png,3,pkm-trainer
red-mage,ball-deck-2,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/ball-deck-2/red-mage.png,3,red-mage
toaster,ball-deck-2,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/ball-deck-2/toaster.png,3,toaster
snowglobe,ball-deck-2,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/ball-deck-2/snowglobe.png,3,snowglobe
geode,ball-deck-2,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/ball-deck-2/geode.png,3,geode
glass-bomb,ball-deck-2,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/ball-deck-2/glass-bomb.png,3,glass-bomb
aurora,ball-deck-2,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/ball-deck-2/aurora.png,1,aurora
mr-marshmallow,ball-deck-2,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/ball-deck-2/mr-marshmallow.png,1,mr-marshmallow
protagonist,ball-deck-2,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/ball-deck-2/protagonist.png,1,protagonist
combola,ball-deck-2,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/ball-deck-2/combola.png,1,combola
jade,ball-deck-2,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/ball-deck-2/jade.png,1,jade
uranium,ball-deck-2,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/ball-deck-2/uranium.png,1,uranium
