label,Deck,image,item-count,item-key
stamp-1,stamp-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/stamp-deck/stamp-1.png,8,stamp-1
stamp-2,stamp-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/stamp-deck/stamp-2.png,8,stamp-2
stamp-3,stamp-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/stamp-deck/stamp-3.png,8,stamp-3
stamp-4,stamp-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/stamp-deck/stamp-4.png,8,stamp-4
stamp-5,stamp-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/stamp-deck/stamp-5.png,2,stamp-5
stamp-6,stamp-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/stamp-deck/stamp-6.png,2,stamp-6
stamp-7,stamp-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/stamp-deck/stamp-7.png,2,stamp-7
stamp-8,stamp-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/stamp-deck/stamp-8.png,2,stamp-8
stamp-9,stamp-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/stamp-deck/stamp-9.png,2,stamp-9
stamp-10,stamp-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/stamp-deck/stamp-10.png,2,stamp-10
stamp-11,stamp-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/stamp-deck/stamp-11.png,2,stamp-11
stamp-12,stamp-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/stamp-deck/stamp-12.png,2,stamp-12
stamp-13,stamp-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/stamp-deck/stamp-13.png,1,stamp-13
stamp-14,stamp-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/stamp-deck/stamp-14.png,1,stamp-14
stamp-15,stamp-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/stamp-deck/stamp-15.png,1,stamp-15
stamp-16,stamp-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/main/cards/stamp-deck/stamp-16.png,1,stamp-16
