label,Deck,image,item-count,item-key
brawn-token,token-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/dev/cards/token-deck/brawn-token.png,3,brawn-token
heart-token,token-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/dev/cards/token-deck/heart-token.png,3,heart-token
brain-token,token-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/dev/cards/token-deck/brain-token.png,3,brain-token
recycle-token,token-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/dev/cards/token-deck/recycle-token.png,3,recycle-token
flower-token,token-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/dev/cards/token-deck/flower-token.png,3,flower-token
twins-token,token-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/dev/cards/token-deck/twins-token.png,3,twins-token
bag-token,token-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/dev/cards/token-deck/bag-token.png,3,bag-token
car-token,token-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/dev/cards/token-deck/car-token.png,3,car-token
animal-token,token-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/dev/cards/token-deck/animal-token.png,3,animal-token
face-token,token-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/dev/cards/token-deck/face-token.png,3,face-token
sun-token,token-deck,https://raw.githubusercontent.com/EmilRosen/ballers/refs/heads/dev/cards/token-deck/sun-token.png,3,sun-token
